,position,name,varlab,multiple_answers,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17
0,15,f1a2,Were you present at the birth?,0,Were you present at the birth?,Were you present at the birth?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
1,16,f1a3,Have you held baby(ies)?,0,Have you held the [baby/babies]?,Have you held the [baby/babies]?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
2,17,f1a4,Will the baby(ies) have your last name?,0,Will the (baby/babies) have your last name?,Will the (baby/babies) have your last name?,1,YES,2,NO,-2,DON’T KNOW,1  (SKIP to A5),YES,2  (SKIP to A4A),NO,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
3,18,f1a4a,Did you want the baby(ies) to have your last name?,1,Will the (baby/babies) have your last name?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
4,19,f1a5,Will your name be on the birth certificate?,0,Will your name be on the birth certificate?,Will your name be on the birth certificate?,1 (SKIP TO A6),YES,2 (GO TO A5A),NO,-2,DON’T KNOW,1,YES,2,NO,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
5,20,f1a5a,Did you want your name on the birth certificate?,1,Will your name be on the birth certificate?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
6,21,f1a6,Do you have other biological children?,0,Do you have any other biological children?,Do you have any other biological children?,1 (GO TO A6A),YES,2 (SKIP TO A7),NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
7,22,f1a6a,How many other biological children?,1,Do you have any other biological children?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
8,23,f1a7,Who (does/do) the (baby/babies) look like?,0,Who (does/do) the (baby/babies) look like?,Who (does/do) the (baby/babies) look like?,1,ME,2,BABY’S MOTHER,3,RELATIVE OF MINE,4,RELATIVE OF [BABY’S MOTHER],5,"OTHER, not specified",101,BOTH PARENTS,102,THE BABY’S SIBLING(S),103,HIMSELF/HERSELF,104,COMBINATION OF RELATIVES,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
9,24,cf1age,Constructed - Father's age (years),1,,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
10,25,f1b1a,How many years did you know each other before (baby's mother) got pregnant?,1,,B1A        WRITE IN YEARS           oo               B1B        WRITE IN MONTH  oo,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
11,26,f1b1b,How many months did you know each other before (baby's mother) got pregnant?,1,,B1A        WRITE IN YEARS           oo               B1B        WRITE IN MONTH  oo,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
12,27,f1b2,Is respondent married to baby's mother?,0,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
13,28,f1b3,What describes your current relationship with (baby's mother)?,0,Which of the following statements best describes your current relationship with,Which of the following statements best describes your current relationship with,1 (SKIP TO B8 ON P. 6),We are romantically involved  on a steady basis,2 (SKIP TO B8 ON P. 6),We are involved in an on-again and off-again relationship,3,We are just friends,4,We hardly ever talk to each other,5,We never talk to each other,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
14,29,f1b4a,"Why did romantic rel end with BM, Financial Reasons(Don't have work,money)?",1,Why did your romantic relationship with [BABY’S MOTHER] end?,"B4A      FINANCIAL REASONS (DON’T HAVE WORK, MONEY)",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
15,30,f1b4b,"Why did romantic rel end with BM, Distance (Don't live in same town)?",1,Why did your romantic relationship with [BABY’S MOTHER] end?,B4B      DISTANCE (DON’T LIVE IN SAME TOWN),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
