,position,name,varlab,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17,val18,lab18,val19,lab19,val20,lab20,val21,lab21,val22,lab22,val23,lab23,val24,lab24,val25,lab25,val26,lab26,val27,lab27,val28,lab28,val29,lab29,val30,lab30,val31,lab31,val32,lab32,val33,lab33,val34,lab34,val35,lab35,val36,lab36,val37,lab37,val38,lab38,val39,lab39,val40,lab40,val41,lab41,val42,lab42,val43,lab43,val44,lab44,val45,lab45,val46,lab46,val47,lab47,val48,lab48,val49,lab49,val50,lab50,val51,lab51,val52,lab52,val53,lab53,val54,lab54,val55,lab55,val56,lab56,val57,lab57,val58,lab58,val59,lab59,val60,lab60,val61,lab61,val62,lab62,val63,lab63,val64,lab64,val65,lab65,val66,lab66,val67,lab67,val68,lab68,val69,lab69,val70,lab70,val71,lab71,val72,lab72,val73,lab73,val74,lab74,val75,lab75,val76,lab76,val77,lab77,val78,lab78,val79,lab79,val80,lab80,val81,lab81,val82,lab82,val83,lab83,val84,lab84,val85,lab85,val86,lab86,val87,lab87,val88,lab88,val89,lab89,val90,lab90,val91,lab91,val92,lab92,val93,lab93,val94,lab94,val95,lab95,val96,lab96,val97,lab97,val98,lab98,val99,lab99
0,6673,f4a2,How much of the time does child spend with you?,A2.           How much of the time does (CHILD) live with you?  Is it . . .,A2.           How much of the time does (CHILD) live with you?  Is it . . .,1  -->  GO TO A4,"All or most of the time,",2  -->  GO TO A3F,"About half of the time,",3  -->  GO TO A2D,"Some of the time, or",4  -->  GO TO A2C,None of the time?,5,VOLUNTEERED-CHILD DECEASED,6  -->  GO TO A3,VOLUNTEERED-CHILD ADOPTED,7  -->  GO TO A3,ONLY ON WEEKENDS,-1  -->  GO TO A4,REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6674,f4a2c,Has child stayed with you in past year?,A2.           How much of the time does (CHILD) live with you?  Is it . . .,A2C.        Has (he/she) stayed with you in the past twelve months?,1,YES,2  -->  GO TO A3A1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6675,f4a2d,How many nights has child spent with you in past yr?,A2.           How much of the time does (CHILD) live with you?  Is it . . .,A2D.        How many nights has (CHILD) spent with you in the past twelve months?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6676,f4a3,How many months ago did child stop living with you?,A3.           How many months ago did (he/she) stop living with you (most of the time)?,A3.           How many months ago did (he/she) stop living with you (most of the time)?,-10  -->  GO TO A3A2,THE TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6677,f4a3a1,What is main reason child stopped living with you?,A3.           How many months ago did (he/she) stop living with you (most of the time)?,A3A1.      What was the main reason (he/she) stopped living with you (most of the time)?,1,LEGALLY LOST CUSTODY,2,AGENCY/COURT REMOVED CHILD,3,FINANCIAL PROBLEMS,4,OWN HEALTH PROBLEMS,5,CHILD’S HEALTH PROBLEMS,6,NEIGHBORHOOD SAFETY,7,KIDNAPPED,8  -->  RECODE A2 AND,CHILD DECEASED,9,OTHER (NOT SPECIFIED),101,FATHER INCARCERATED,102,LIVES WITH OTHER FAMILY,103,FATHER DISABLED,104,LIVES WITH MOTHER,105,PARENTS BROKE UP,106,NEVER LIVED WITH CHILD,107,FATHER MOVED,108,MOTHER/CHILD MOVED,109,PARENTS DON’T GET ALONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6678,f4a3a2,Who does child usually live with?,A3.           How many months ago did (he/she) stop living with you (most of the time)?,A3A2.      CODE WITHOUT ASKING IF KNOWN.,1  -->  GO TO A3C,BIOLOGICAL MOTHER,2,MATERNAL GRANDPARENT(S),3,PATERNAL GRANDPARENT(S),4,OTHER RELATIVE(S),5,FRIEND,6,FOSTER CARE,"7  -->  UPDATE ADDRESS,",ADOPTIVE PARENT,8  -->  RECODE A2 AND,CHILD DECEASED,9  -->  GO TO A3C,OTHER (NOT SPECIFIED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6679,f4a3b,Are child's foster parents related to you?,A3.           How many months ago did (he/she) stop living with you (most of the time)?,A3B.        Are (CHILD's) foster parents related to you?,1,YES,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6680,f4a3b1a,Does primary caregiver receive payment?,A3.           How many months ago did (he/she) stop living with you (most of the time)?,A3B1A.   Does (PERSON IN A3A2) receive any kind of payment for taking care of (CHILD)?,1,YES,2,NO,-2,DON’T KNOW,-1,REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6681,f4a3b1b_1,Who provides payment: father?,A3B1B.   Who provides this payment?,A3B1B.   Who provides this payment?,2,A3B1B_2             CHILD’S MOTHER,3,A3B1B_3             OTHER RELATIVE OF CHILD,4,A3B1B_4             FRIEND,5,A3B1B_5             GOVERNMENT AGENCY,6,A3B1B_6             OTHER (NOT SPECIFIED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6682,f4a3b1b_2,Who provides payment: mother?,A3B1B.   Who provides this payment?,A3B1B_2             CHILD’S MOTHER,2,A3B1B_2             CHILD’S MOTHER,3,A3B1B_3             OTHER RELATIVE OF CHILD,4,A3B1B_4             FRIEND,5,A3B1B_5             GOVERNMENT AGENCY,6,A3B1B_6             OTHER (NOT SPECIFIED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
