,position,name,varlab,multiple_answers,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17
0,451,m1a3,Have you picked up a (name/names) for the (baby/babies) yet?,0,Have you picked out (a name/names) for the (baby/babies) yet?,Have you picked out (a name/names) for the (baby/babies) yet?,1  (GO TO A3A),YES,2  (SKIP TO A4),NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
1,452,m1a4,Is respondent married to baby's father?,0,Are you currently married to the father of your new baby?,Are you currently married to the father of your new baby?,1 (GO TO A7),"YES, MARRIED TO FATHER",2 (GO TO A5),"NO, NOT MARRIED TO FATHER",3 (GO TO A8),FATHER UNKNOWN,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
2,453,m1a5,Will the baby (babies) have the father's last name?,0,Will the (baby/babies) have the father’s last name?,Will the (baby/babies) have the father’s last name?,1,YES,2,NO,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
3,454,m1a6,Will the father's name be on the birth certificate?,0,Will the father’s name be on the birth certificate?,Will the father’s name be on the birth certificate?,1,YES,2,NO,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
4,455,m1a7,Has BF visited you in the hospital?,0,Has [BABY’S FATHER] visited you in the hospital?,Has [BABY’S FATHER] visited you in the hospital?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
5,456,m1a8,When are you going home?,0,When are you going home?,When are you going home?,1,TODAY,2,TOMORROW,3,AFTER TOMORROW,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
6,457,m1a9,Do you feel ready to go home or would you rather stay longer?,0,Do you feel like you are ready to go home or would you rather stay longer?,Do you feel like you are ready to go home or would you rather stay longer?,1,READY TO GO HOME,2,RATHER STAY LONGER,1 (SKIP TO A12),"YES, MARRIED",2 (GO TO A11),"NO, NOT MARRIED",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
7,458,m1a10,Int chk: Is respondent married to (BF)?,0,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
8,459,m1a11a,Will the baby live with mother?,1,Who will the baby live with?,A11A     MOTHER,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
9,460,m1a11b,Will the baby live with father?,1,Who will the baby live with?,A11B    FATHER,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
10,461,m1a11c,Will baby live with other relatives?,1,Who will the baby live with?,A11C    OTHER ADULT RELATIVES,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
11,462,m1a11d,Will baby live with non-relatives?,1,Who will the baby live with?,A11D    NON-RELATIVES,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
12,463,m1a12,Do you have other biological children?,0,Do you have any other biological children?,Do you have any other biological children?,1 (GO TO A12A),YES,2 (SKIP TO A13),NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
13,464,m1a12a,How many other biological children do you have?,1,Do you have any other biological children?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
