,position,name,varlab,multiple_answers,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17,val18,lab18,val19,lab19,val20,lab20,val21,lab21,val22,lab22,val23,lab23,val24,lab24,val25,lab25,val26,lab26,val27,lab27,val28,lab28,val29,lab29,val30,lab30,val31,lab31,val32,lab32,val33,lab33,val34,lab34,val35,lab35,val36,lab36,val37,lab37,val38,lab38,val39,lab39,val40,lab40,val41,lab41,val42,lab42,val43,lab43,val44,lab44,val45,lab45,val46,lab46,val47,lab47,val48,lab48,val49,lab49,val50,lab50,val51,lab51,val52,lab52,val53,lab53,val54,lab54,val55,lab55,val56,lab56,val57,lab57,val58,lab58,val59,lab59,val60,lab60,val61,lab61,val62,lab62,val63,lab63,val64,lab64,val65,lab65,val66,lab66,val67,lab67,val68,lab68,val69,lab69,val70,lab70,val71,lab71,val72,lab72,val73,lab73,val74,lab74,val75,lab75,val76,lab76,val77,lab77,val78,lab78,val79,lab79,val80,lab80,val81,lab81,val82,lab82,val83,lab83,val84,lab84,val85,lab85,val86,lab86,val87,lab87,val88,lab88,val89,lab89,val90,lab90,val91,lab91,val92,lab92,val93,lab93,val94,lab94,val95,lab95,val96,lab96,val97,lab97,val98,lab98,val99,lab99,val100,lab100,val101,lab101,val102,lab102,val103,lab103,val104,lab104,val105,lab105,val106,lab106,val107,lab107,val108,lab108
0,1842,m2a3,How much of the time does the child live with you?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1843,m2a4,How many months ago did (he/she) stop living with you (most of the time)?,0,A4.           How many months ago did (he/she) stop living with you (most of the time)?,A4.           How many months ago did (he/she) stop living with you (most of the time)?,-10,(CHILD) MOST OR ALL OF THE TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1844,m2a4a,Who does child (usually) live with?,0,A4.           How many months ago did (he/she) stop living with you (most of the time)?,A4A.        Who does (CHILD) (usually) live with?,1,BIOLOGICAL FATHER,2,MATERNAL GRANDPARENT(S),3,PATERNAL GRANDPARENT(S),4,OTHER RELATIVE(S),6,FOSTER CARE,7  -->   THANK MOTHER,ADOPTIVE PARENT,8  -->   RECODE A3,CHILD DECEASED,9,OTHER (NOT SPECIFIED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1845,m2a4b,About how long has child been living there (month)?,0,A4.           How many months ago did (he/she) stop living with you (most of the time)?,A4B.        About how long has (CHILD) been living there?,0,LESS THAN ONE MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1846,m2a4c,Do you expect the child to live with you (again) during the coming year?,0,A4.           How many months ago did (he/she) stop living with you (most of the time)?,A4C.        Do you expect (CHILD) to live with you (again) during the coming year?,1,YES,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1847,m2a4d,How many days did you see the child in the past 30 days?,0,A4.           How many months ago did (he/she) stop living with you (most of the time)?,A4D.        About how many days did you see (CHILD) in the past 30 days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1848,m2a6,What was your relationship with father when child was born?,0,"A6.           Next, I have a few questions about your relationship with (CHILD’S) father,","A6.           Next, I have a few questions about your relationship with (CHILD’S) father,",1  -->  GO TO A6C,"Married,",2  -->  GO TO A6C,"Romantically involved,",3  -->  GO TO A7,"Separated/Divorced,",4  -->  GO TO A7,"Just friends, or",5  -->  GO TO A7,Not in any kind of a relationship?,-13  -->  GO TO A7,OF BIRTH,-1  -->  GO TO A7,REFUSED,-14  -->  GO TO A6A,FATHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1849,m2a6b,What was your relationship with father when child was born?,0,"A6.           Next, I have a few questions about your relationship with (CHILD’S) father,",A6B.        What was your relationship with (FATHER) when (CHILD) was born?,1,"Married,",2,"Romantically involved,",3  -->  GO TO A7,"Separated/Divorced,",4  -->  GO TO A7,"Just friends, or",5  -->  GO TO A7,Not in any kind of a relationship?,-13  -->  GO TO A7,OF BIRTH,-1  -->  GO TO A7,REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1850,m2a6c,"When child was born, were you and father living together...",0,"A6.           Next, I have a few questions about your relationship with (CHILD’S) father,","A6C.        When (CHILD) was born, were you and (FATHER) living together . . .",1,"All or most of the time,",2,"Some of the time,",3,"Rarely, or",4,Never?,203 (2 CITIES ONLY),Rarely/never,-1,REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1851,m2a7,What is your relationship with father now?,0,A7.           What is your relationship with (FATHER) now?  Are you . . .,A7.           What is your relationship with (FATHER) now?  Are you . . .,1,"Married,",2,"Romantically involved,",3  -->  GO TO A8A,"Separated/Divorced,",4  -->  GO TO A8A,"Just friends, or",5  -->  GO TO A8A,Not in any kind of a relationship?,-13  -->  GO TO SECTION B,FATHER NOT KNOWN,-14  -->  GO TO A7B,"VOLUNTEERED, FATHER DIED",-1,REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
