,position,name,varlab,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17,val18,lab18,val19,lab19,val20,lab20,val21,lab21,val22,lab22,val23,lab23,val24,lab24,val25,lab25,val26,lab26,val27,lab27,val28,lab28,val29,lab29,val30,lab30,val31,lab31,val32,lab32,val33,lab33,val34,lab34,val35,lab35,val36,lab36,val37,lab37,val38,lab38,val39,lab39,val40,lab40,val41,lab41,val42,lab42,val43,lab43,val44,lab44,val45,lab45,val46,lab46,val47,lab47,val48,lab48,val49,lab49,val50,lab50,val51,lab51,val52,lab52,val53,lab53,val54,lab54,val55,lab55,val56,lab56,val57,lab57
0,9800,m5a2,A2. Confirm how much time child lives with respondent,A2.           CONFIRM FROM SCREENER:  HOW MUCH OF THE TIME DOES {CHILD} LIVE WITH THE RESPONDENT?,A2.           CONFIRM FROM SCREENER:  HOW MUCH OF THE TIME DOES {CHILD} LIVE WITH THE RESPONDENT?,1  -->  GO TO SECTION A,ALL OR MOST OF THE TIME,2  -->  GO TO A3F,ABOUT HALF OF THE TIME,3  -->  GO TO A3,SOME OF THE TIME,4  -->  GO TO A3,NONE OF THE TIME,7  -->  GO TO A3,ONLY ON WEEKENDS,-2  -->  GO TO SECTION A,REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9801,m5a3,A3. Number of months ago child stopped living with you,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3.           How many months ago did {he/she} stop living with you {most of the time}?,-10  -->  GO TO BOX A3A2,CHILD ALL OR MOST OF THE TIME,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9802,m5a3b,A3B. Child's foster parents related to you,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3B.         Are {CHILD}’s foster parents related to you?,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9803,m5a3b1a,A3B1A. Person taking care of child receives payment,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3B1A.    Does {NAME OF NON-PARENT IN PCG IDENTIFIER} receive any kind of payment for taking care of {CHILD}?,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9804,m5a3c,A3C. Number of months child been living there,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3C.         About how many months has {CHILD} been living {with {his/her} father/with {his/her}    foster parents/with {NAME OF NON-PARENT IN PCG IDENTIFIER}?,-1,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9805,m5a3d,A3D. You expect child to live with you again during coming year,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3D.         Do you expect {CHILD} to live with you {again} during the coming year?,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9806,m5a3e,A3E. Number of days you saw child in past 30 days,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3E.         About how many days did you see {CHILD} in the past 30 days?,-1,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9807,m5a3e2,A3E2. You have seen child in the last year,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3E2.       Have you seen {CHILD} in the last year?,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9808,m5a3f,A3F. Who child lives with when not living with you,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3F.       Who does {CHILD} live with when {he/she} is not living with you?,1,BIOLOGICAL FATHER,2,MATERNAL GRANDPARENT(S),3,PATERNAL GRANDPARENT(S),4,OTHER RELATIVE(S),5,FRIEND,91,OTHER (SPECIFY)___________________,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9809,m5a3g,A3G. Number of days child lived with you in past 30 days,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3G.        How many days did {CHILD} live with you out of the past 30 days?,-1,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
