,position,name,varlab,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17,val18,lab18,val19,lab19,val20,lab20,val21,lab21,val22,lab22,val23,lab23,val24,lab24,val25,lab25,val26,lab26,val27,lab27,val28,lab28,val29,lab29,val30,lab30,val31,lab31,val32,lab32,val33,lab33,val34,lab34,val35,lab35,val36,lab36,val37,lab37,val38,lab38,val39,lab39,val40,lab40,val41,lab41,val42,lab42,val43,lab43
0,15551,p6conf1,CONF1. PCG relationship to youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15552,p6conf2,CONF2. How much time youth lives with PCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15553,p6conf3,CONF3. Other person youth usually lives with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15554,p6aa1,AA1. NPCG receives payment for caring for youth?,,"AA1.       Do you receive payment for taking care of {YOUTH} or for any other children in your household? Please include any foster care payments, or any payments from TANF or welfare, as well as financial help from {YOUTH}’s mother or father or from the parents of other children living with you.",1,"YES, PAYMENTS FOR {YOUTH} ONLY",2,"YES, PAYMENTS FOR OTHER CHILDREN ONLY",3,"YES, PAYMENTS FOR {YOUTH} AND OTHER CHILDREN",4  --> GO TO Section B,NO,-1 --> GO TO Section B,REFUSED,-2 --> GO TO Section B,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15555,p6aa2_1,AA2_1. NPCG receives payment from youth's mother,AA2.       Where do you receive payments from?,YOUTH’S MOTHER,1,YOUTH’S MOTHER,2,YOUTH’S FATHER,3,PARENT OR PARENTS OF OTHER CHILDREN,4,FOSTER CARE PAYMENT,5,TANF/WELFARE,91,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15556,p6aa2_2,AA2_2. NPCG receives payment from youth's father,AA2.       Where do you receive payments from?,YOUTH’S FATHER,1,YOUTH’S MOTHER,2,YOUTH’S FATHER,3,PARENT OR PARENTS OF OTHER CHILDREN,4,FOSTER CARE PAYMENT,5,TANF/WELFARE,91,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15557,p6aa2_3,AA2_3. NPCG receives payment from parent or parents of other children,AA2.       Where do you receive payments from?,PARENT OR PARENTS OF OTHER CHILDREN,1,YOUTH’S MOTHER,2,YOUTH’S FATHER,3,PARENT OR PARENTS OF OTHER CHILDREN,4,FOSTER CARE PAYMENT,5,TANF/WELFARE,91,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15558,p6aa2_4,AA2_4. NPCG receives payment from foster care,AA2.       Where do you receive payments from?,FOSTER CARE PAYMENT,1,YOUTH’S MOTHER,2,YOUTH’S FATHER,3,PARENT OR PARENTS OF OTHER CHILDREN,4,FOSTER CARE PAYMENT,5,TANF/WELFARE,91,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15559,p6aa2_5,AA2_5. NPCG receives payment from TANF/welfare,AA2.       Where do you receive payments from?,TANF/WELFARE,1,YOUTH’S MOTHER,2,YOUTH’S FATHER,3,PARENT OR PARENTS OF OTHER CHILDREN,4,FOSTER CARE PAYMENT,5,TANF/WELFARE,91,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15560,p6aa2_91,AA2_91. NPCG receives payment from other,AA2.       Where do you receive payments from?,OTHER (SPECIFY),1,YOUTH’S MOTHER,2,YOUTH’S FATHER,3,PARENT OR PARENTS OF OTHER CHILDREN,4,FOSTER CARE PAYMENT,5,TANF/WELFARE,91,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
